Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Transaction,10,494,433,702,702,945,357,945,0.000%,1.05798,0.93,0.25
Browse Products Transaction ,10,262,277,290,290,291,190,291,0.000%,1.06576,11.85,0.16
View Product Transaction ,10,260,280,287,287,290,190,290,0.000%,1.05820,1.25,0.17
Add Cart Transaction ,10,263,275,288,288,315,188,315,0.000%,1.05009,0.85,0.31
View Cart Transaction ,10,362,378,391,391,403,290,403,0.000%,1.03008,0.75,0.16
Debug Sampler,10,0,0,1,1,1,0,1,0.000%,1.06360,0.41,0.00
TOTAL,60,274,287,429,436,702,0,945,0.000%,5.59180,14.06,0.93
