Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Transaction,1,978,978,978,978,978,978,978,0.000%,1.02041,0.89,0.24
Browse Products Transaction ,1,287,287,287,287,287,287,287,0.000%,3.47222,38.61,0.54
View Product Transaction ,1,280,280,280,280,280,280,280,0.000%,3.57143,3.85,0.56
Add Cart Transaction ,1,279,279,279,279,279,279,279,0.000%,3.57143,2.87,1.06
View Cart Transaction ,1,377,377,377,377,377,377,377,0.000%,2.65252,1.92,0.41
Debug Sampler,1,0,0,0,0,0,0,0,0.000%,∞,0.00,0.00
TOTAL,6,366,280,377,978,978,0,978,0.000%,2.71985,6.79,0.45
