Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login Transaction,100,399,315,947,90.07,0.000%,1.00669,0.88,0.23,897.0
Browse Products Transaction ,100,258,189,529,57.38,0.000%,1.00936,11.22,0.16,11385.6
View Product Transaction ,100,251,188,436,38.58,0.000%,1.01017,1.26,0.16,1273.1
Add Cart Transaction ,100,251,188,312,33.60,0.000%,1.01079,0.82,0.30,827.6
View Cart Transaction ,100,354,289,526,37.76,0.000%,1.01058,0.73,0.16,742.2
Debug Sampler,100,0,0,1,0.36,0.000%,1.01475,0.40,0.00,400.1
TOTAL,600,252,0,947,136.16,0.000%,5.98402,15.12,0.99,2587.6
