Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Transaction,200,488,415,663,839,1853,307,2851,0.000%,1.00317,0.88,0.23
Browse Products Transaction ,200,299,293,359,400,502,189,1686,0.000%,1.00730,11.20,0.16
View Product Transaction ,200,285,281,328,389,536,188,1722,0.000%,1.00782,1.25,0.16
Add Cart Transaction ,200,295,289,377,387,728,189,917,0.000%,1.00835,0.82,0.30
View Cart Transaction ,200,391,384,429,473,662,288,1812,0.000%,1.00835,0.73,0.16
Debug Sampler,200,0,0,1,1,1,0,1,0.000%,1.01024,0.40,0.00
TOTAL,1200,293,303,429,496,909,0,2851,0.000%,5.99134,15.14,0.99
